card_ids,cards,runs_with_package,pct_runs_with_package,avg_damage,damage_vs_all_wins,avg_final_hp_fraction,avg_turns
BLOODLETTING;POMMEL_STRIKE;SHRUG_IT_OFF,Bloodletting + Pommel Strike + Shrug It Off,68,42.2,381.3,0.1,0.528,114.4
BATTLE_TRANCE;BLOODLETTING;POMMEL_STRIKE,Battle Trance + Bloodletting + Pommel Strike,47,29.2,391.3,10.1,0.465,114.2
BLOODLETTING;COLOSSUS;POMMEL_STRIKE,Bloodletting + Colossus + Pommel Strike,44,27.3,384.4,3.2,0.544,116.2
BLOODLETTING;HEADBUTT;POMMEL_STRIKE,Bloodletting + Headbutt + Pommel Strike,44,27.3,399.8,18.6,0.493,117.1
BLOODLETTING;DOMINATE;POMMEL_STRIKE,Bloodletting + Dominate + Pommel Strike,43,26.7,378.0,-3.2,0.522,116
BLOODLETTING;POMMEL_STRIKE;TRUE_GRIT,Bloodletting + Pommel Strike + True Grit,43,26.7,387.4,6.3,0.525,118.5
BLOODLETTING;SHRUG_IT_OFF;TRUE_GRIT,Bloodletting + Shrug It Off + True Grit,43,26.7,387.9,6.7,0.527,117.0
BLOODLETTING;POMMEL_STRIKE;UPPERCUT,Bloodletting + Pommel Strike + Uppercut,42,26.1,391.3,10.1,0.523,117.5
BLOODLETTING;POMMEL_STRIKE;TREMBLE,Bloodletting + Pommel Strike + Tremble,42,26.1,397.2,16.1,0.52,118.2
BLOODLETTING;BLOOD_WALL;POMMEL_STRIKE,Bloodletting + Blood Wall + Pommel Strike,41,25.5,386.3,5.1,0.496,114.8
BATTLE_TRANCE;BLOODLETTING;SHRUG_IT_OFF,Battle Trance + Bloodletting + Shrug It Off,41,25.5,391.3,10.1,0.494,113.2
HEADBUTT;POMMEL_STRIKE;SHRUG_IT_OFF,Headbutt + Pommel Strike + Shrug It Off,40,24.8,376.1,-5.1,0.506,114.7
BLOODLETTING;BURNING_PACT;POMMEL_STRIKE,Bloodletting + Burning Pact + Pommel Strike,40,24.8,377.4,-3.7,0.481,116.6
BATTLE_TRANCE;POMMEL_STRIKE;SHRUG_IT_OFF,Battle Trance + Pommel Strike + Shrug It Off,40,24.8,382.7,1.5,0.49,113.7
POMMEL_STRIKE;SHRUG_IT_OFF;TREMBLE,Pommel Strike + Shrug It Off + Tremble,40,24.8,387.1,6.0,0.565,121.2
POMMEL_STRIKE;SHRUG_IT_OFF;TAUNT,Pommel Strike + Shrug It Off + Taunt,39,24.2,369.8,-11.3,0.529,119.1
POMMEL_STRIKE;SHRUG_IT_OFF;UPPERCUT,Pommel Strike + Shrug It Off + Uppercut,39,24.2,390.2,9.0,0.532,118.2
BLOODLETTING;SHRUG_IT_OFF;UPPERCUT,Bloodletting + Shrug It Off + Uppercut,39,24.2,393.2,12.0,0.528,117.2
BLOODLETTING;COLOSSUS;SHRUG_IT_OFF,Bloodletting + Colossus + Shrug It Off,38,23.6,368.6,-12.6,0.606,113.9
BLOODLETTING;BURNING_PACT;SHRUG_IT_OFF,Bloodletting + Burning Pact + Shrug It Off,38,23.6,369.4,-11.8,0.516,117.5
COLOSSUS;POMMEL_STRIKE;SHRUG_IT_OFF,Colossus + Pommel Strike + Shrug It Off,38,23.6,379.6,-1.6,0.601,115.4
