card_id,name,type,runs_present,avg_damage_present,damage_vs_all_wins,avg_final_hp_fraction_present,hp_fraction_vs_all_wins,avg_turns_present,turns_vs_all_wins,avg_deck_size_present,runs_absent
FLASH_OF_STEEL,Flash Of Steel,Attack,10,325.3,-55.9,0.572,0.057,117.2,-0.5,41.4,151
ONE_TWO_PUNCH,One Two Punch,Skill,11,332.1,-49.1,0.563,0.048,103.5,-14.3,33.3,150
BARRICADE,Barricade,Power,13,346,-35.2,0.673,0.158,130.5,12.8,31.9,148
ULTIMATE_STRIKE,Ultimate Strike,Attack,9,349.2,-32.0,0.563,0.048,108.4,-9.3,33,152
FASTEN,Fasten,Power,6,349.8,-31.4,0.431,-0.084,112.7,-5.1,35.5,155
IMPERVIOUS,Impervious,Skill,27,351.1,-30.1,0.638,0.123,115.0,-2.7,33.9,134
FINESSE,Finesse,Skill,14,351.3,-29.9,0.55,0.036,117.1,-0.7,31.2,147
PROWESS,Prowess,Power,8,352.8,-28.4,0.498,-0.016,119.5,1.8,34.5,153
STOMP,Stomp,Attack,24,353.8,-27.4,0.521,0.007,115.6,-2.2,35.1,137
UNMOVABLE,Unmovable,Power,29,358.8,-22.4,0.557,0.043,118.1,0.4,33.6,132
EXTERMINATE,Exterminate,Attack,13,359,-22.2,0.529,0.014,99.4,-18.4,31.5,148
BREAK,Break,Attack,19,360.3,-20.9,0.513,-0.002,110.6,-7.1,30.9,142
BRAND,Brand,Skill,17,362.8,-18.4,0.463,-0.052,111.8,-5.9,31.4,144
APPARITION,Apparition,Skill,5,363.4,-17.8,0.357,-0.158,115.8,-1.9,40.4,156
BRIGHTEST_FLAME,Brightest Flame,Skill,9,366.9,-14.3,0.608,0.093,116.3,-1.4,31.1,152
HAVOC,Havoc,Skill,15,366.9,-14.3,0.53,0.015,111.9,-5.9,33.7,146
EXPECT_A_FIGHT,Expect A Fight,Skill,45,368.8,-12.4,0.52,0.005,117.6,-0.1,33.8,116
BULLY,Bully,Attack,20,369.8,-11.4,0.563,0.049,120.4,2.7,32.7,141
EVIL_EYE,Evil Eye,Skill,46,371.2,-10.0,0.578,0.063,114.5,-3.2,32.7,115
WHIRLWIND,Whirlwind X,Attack,18,371.3,-9.9,0.52,0.005,120.7,2.9,37.8,143
HEMOKINESIS,Hemokinesis,Attack,14,371.6,-9.5,0.498,-0.017,119.3,1.5,33.4,147
BODY_SLAM,Body Slam,Attack,19,373.4,-7.8,0.566,0.052,132.7,14.9,32.9,142
THUNDERCLAP,Thunderclap,Attack,40,373.8,-7.4,0.563,0.048,113.7,-4.1,31.9,121
ANGER,Anger,Attack,40,374.0,-7.2,0.578,0.063,115.6,-2.1,33.4,121
DOMINATE,Dominate,Skill,67,374.0,-7.2,0.524,0.01,115.8,-1.9,33.6,94
THRASH,Thrash,Attack,24,374.1,-7.1,0.469,-0.046,110.2,-7.6,31.3,137
OMNISLICE,Omnislice,Attack,6,374.3,-6.9,0.5,-0.015,98,-19.7,31,155
FIEND_FIRE,Fiend Fire,Attack,36,374.4,-6.8,0.508,-0.007,116.7,-1.0,32.2,125
TAUNT,Taunt,Skill,56,374.4,-6.7,0.507,-0.008,117.9,0.2,33.7,105
FORGOTTEN_RITUAL,Forgotten Ritual,Skill,38,375.6,-5.6,0.592,0.078,116.2,-1.6,33.2,123
DRUM_OF_BATTLE,Drum Of Battle,Power,24,375.9,-5.3,0.548,0.033,116.2,-1.5,35.6,137
SHOCKWAVE,Shockwave,Skill,15,376.5,-4.7,0.505,-0.01,116.5,-1.2,32.7,146
FEEL_NO_PAIN,Feel No Pain,Power,56,376.9,-4.3,0.522,0.007,121.3,3.6,31.9,105
DARK_EMBRACE,Dark Embrace,Power,22,377.8,-3.4,0.561,0.047,117.2,-0.5,31.2,139
SHRUG_IT_OFF,Shrug It Off,Skill,109,378.0,-3.2,0.539,0.024,118.8,1.1,33.8,52
BURNING_PACT,Burning Pact,Skill,70,378.3,-2.9,0.518,0.003,120.2,2.5,33.3,91
STONE_ARMOR,Stone Armor,Power,24,378.8,-2.4,0.545,0.03,134.1,16.4,37.9,137
COLOSSUS,Colossus,Skill,62,378.8,-2.3,0.55,0.035,116.5,-1.2,34.4,99
FIGHT_ME,Fight Me,Attack,24,379.1,-2.1,0.465,-0.05,107.8,-10.0,32.1,137
PERFECTED_STRIKE,Perfected Strike,Attack,29,379.5,-1.7,0.492,-0.023,118.5,0.7,37.6,132
HOWL_FROM_BEYOND,Howl From Beyond,Attack,20,379.8,-1.4,0.57,0.055,122.2,4.4,33.1,141
TRUE_GRIT,True Grit,Skill,75,379.9,-1.3,0.53,0.016,121.6,3.8,32.3,86
CRUELTY,Cruelty,Power,21,379.9,-1.3,0.402,-0.113,118.4,0.6,32.4,140
POMMEL_STRIKE,Pommel Strike,Attack,125,380.3,-0.9,0.499,-0.016,116.9,-0.9,32.9,36
AGGRESSION,Aggression,Power,17,380.4,-0.8,0.509,-0.005,113.5,-4.2,37.4,144
CASCADE,Cascade X,Skill,22,381.5,0.3,0.504,-0.01,111.6,-6.1,35.3,139
ARMAMENTS,Armaments,Skill,56,381.9,0.7,0.535,0.02,119.9,2.2,33.9,105
CINDER,Cinder,Attack,13,382.5,1.3,0.523,0.008,117,-0.7,30.9,148
SETUP_STRIKE,Setup Strike,Attack,9,382.4,1.3,0.398,-0.117,110.7,-7.1,33.2,152
TWIN_STRIKE,Twin Strike,Attack,20,382.9,1.7,0.429,-0.086,113.8,-3.9,31.6,141
BLOOD_WALL,Blood Wall,Skill,64,383.0,1.8,0.502,-0.013,115.5,-2.2,32.8,97
RUPTURE,Rupture,Power,25,383.0,1.9,0.481,-0.034,113.4,-4.4,36.1,136
BATTLE_TRANCE,Battle Trance,Skill,74,384.7,3.6,0.477,-0.038,115.7,-2.0,31.9,87
BLOODLETTING,Bloodletting,Skill,120,384.9,3.7,0.508,-0.007,114.9,-2.8,32.2,41
HELLRAISER,Hellraiser,Power,18,385.2,4.0,0.531,0.016,114.5,-3.2,30.8,143
INFERNAL_BLADE,Infernal Blade,Skill,13,385.3,4.1,0.482,-0.032,120.2,2.5,30.4,148
IRON_WAVE,Iron Wave,Attack,21,385.8,4.6,0.483,-0.032,116.5,-1.2,33.8,140
JUGGLING,Juggling,Power,17,386.2,5.0,0.49,-0.025,111.1,-6.6,31.6,144
MANGLE,Mangle,Attack,17,387.9,6.8,0.49,-0.025,114.1,-3.6,29.2,144
VICIOUS,Vicious,Power,50,388.4,7.2,0.567,0.052,117.0,-0.8,34,111
MAD_SCIENCE,Mad Science,Attack,23,390.0,8.8,0.463,-0.052,113.7,-4.1,32.7,138
ASHEN_STRIKE,Ashen Strike,Attack,36,390.5,9.3,0.48,-0.035,114.8,-2.9,33.1,125
MOLTEN_FIST,Molten Fist,Attack,43,391.1,9.9,0.466,-0.049,116.8,-1.0,29.7,118
HEADBUTT,Headbutt,Attack,67,391.2,10.0,0.513,-0.002,118.6,0.9,34.1,94
JUGGERNAUT,Juggernaut,Power,7,391.3,10.1,0.721,0.206,154.3,36.5,38,154
EQUILIBRIUM,Equilibrium,Skill,8,392.2,11.1,0.586,0.071,125.8,8.0,29.4,153
STOKE,Stoke,Skill,28,393.0,11.8,0.517,0.003,117.5,-0.2,30.6,133
UPPERCUT,Uppercut,Attack,67,393.3,12.1,0.485,-0.029,121.6,3.9,34.1,94
PILLAGE,Pillage,Attack,27,396.7,15.5,0.49,-0.024,111.3,-6.4,32.3,134
AUTOMATION,Automation,Power,10,397,15.8,0.431,-0.084,108.4,-9.3,35.2,151
THRUMMING_HATCHET,Thrumming Hatchet,Attack,6,398,16.8,0.48,-0.035,133,15.3,32.2,155
TREMBLE,Tremble,Skill,69,398.2,17.0,0.533,0.018,122.0,4.2,35,92
OFFERING,Offering,Skill,47,399.6,18.5,0.478,-0.037,116.9,-0.9,29.7,114
RAGE,Rage,Skill,29,400.2,19.0,0.486,-0.029,123.7,6.0,33.3,132
CRIMSON_MANTLE,Crimson Mantle,Power,36,400.2,19.1,0.459,-0.056,121.5,3.7,31.2,125
STAMPEDE,Stampede,Power,27,401.1,19.9,0.532,0.018,120.3,2.6,32.1,134
SECOND_WIND,Second Wind,Skill,36,401.3,20.1,0.521,0.006,122.1,4.4,32.9,125
UNRELENTING,Unrelenting,Attack,25,402.3,21.1,0.458,-0.057,121.5,3.7,35.3,136
INFLAME,Inflame,Power,22,402.7,21.5,0.497,-0.018,123.1,5.4,32.6,139
SPITE,Spite,Attack,20,404.9,23.7,0.451,-0.064,121,3.3,31.5,141
DISMANTLE,Dismantle,Attack,16,404.9,23.8,0.479,-0.036,114.6,-3.2,31.1,145
ULTIMATE_DEFEND,Ultimate Defend,Skill,9,405.1,23.9,0.627,0.112,116.7,-1.1,33.6,152
INFERNO,Inferno,Power,33,405.1,23.9,0.521,0.006,115.4,-2.3,35.3,128
CONFLAGRATION,Conflagration,Attack,12,405.4,24.2,0.538,0.023,117.7,-0.1,34.4,149
DEMON_FORM,Demon Form,Power,13,405.8,24.6,0.502,-0.013,128.2,10.5,35.4,148
MASTER_OF_STRATEGY,Master Of Strategy,Skill,6,406.3,25.1,0.409,-0.105,118.2,0.4,32.8,155
TEAR_ASUNDER,Tear Asunder,Attack,17,406.5,25.3,0.479,-0.036,109.3,-8.5,30.5,144
BREAKTHROUGH,Breakthrough,Attack,24,406.7,25.5,0.369,-0.146,112,-5.7,31.6,137
SWORD_BOOMERANG,Sword Boomerang,Attack,17,407.4,26.2,0.411,-0.104,116.7,-1.0,30.5,144
PACTS_END,Pacts End,Attack,17,408.1,26.9,0.545,0.031,124.9,7.1,31.2,144
FLAME_BARRIER,Flame Barrier,Skill,46,410.4,29.2,0.463,-0.052,124.2,6.5,33.1,115
PYRE,Pyre,Power,40,411.9,30.7,0.461,-0.053,123.8,6.1,32.8,121
BLUDGEON,Bludgeon,Attack,19,412.8,31.6,0.516,0.001,116.7,-1.1,30.4,142
APOTHEOSIS,Apotheosis,Skill,8,414.2,33.1,0.577,0.063,121.6,3.9,32.1,153
DARK_SHACKLES,Dark Shackles,Skill,5,417.8,36.6,0.556,0.041,119.2,1.5,34.2,156
RAMPAGE,Rampage,Attack,9,420.4,39.3,0.415,-0.099,131,13.3,30.6,152
NOT_YET,Not Yet,Skill,16,422.1,40.9,0.642,0.127,119.1,1.4,38.2,145
WISH,Wish,Skill,9,427.1,45.9,0.315,-0.2,118.2,0.5,33.3,152
FEED,Feed,Attack,17,431.4,50.2,0.539,0.024,123,5.3,33.5,144
DRAMATIC_ENTRANCE,Dramatic Entrance,Attack,6,444.3,63.1,0.635,0.12,120.7,2.9,33.2,155
