card_id,name,picked_count,runs_with_pick,pct_runs_with_pick,avg_pick_floor,median_pick_floor,earliest_pick_floor,latest_pick_floor,act1_picks,act2_picks,act3_picks,monster_picks,elite_picks,boss_picks,event_or_other_picks
POMMEL_STRIKE,Pommel Strike,189,117,72.7,22.49,23,1,46,70,69,50,118,52,0,19
SHRUG_IT_OFF,Shrug It Off,132,94,58.4,23.2,21.0,1,46,45,44,43,79,31,0,22
BLOODLETTING,Bloodletting,115,91,56.5,20.86,20,1,46,50,35,30,70,29,0,16
BATTLE_TRANCE,Battle Trance,76,63,39.1,20.71,20.0,2,46,35,23,18,45,27,0,4
TRUE_GRIT,True Grit,71,60,37.3,21.56,20,2,46,31,18,22,47,16,0,8
BLOOD_WALL,Blood Wall,69,60,37.3,19.46,15,1,46,35,18,16,38,17,0,14
TREMBLE,Tremble,69,59,36.6,21.86,20,2,47,28,23,18,42,20,0,7
COLOSSUS,Colossus,67,51,31.7,23.27,21,2,47,26,21,20,34,15,5,13
HEADBUTT,Headbutt,67,64,39.8,18.07,13,2,43,39,14,14,39,18,0,10
DOMINATE,Dominate,63,56,34.8,23.02,23,2,46,23,23,17,35,22,0,6
FEEL_NO_PAIN,Feel No Pain,59,49,30.4,23.8,23,2,46,16,31,12,33,20,0,6
BURNING_PACT,Burning Pact,58,54,33.5,27.24,29.5,2,46,17,19,22,35,18,0,5
UPPERCUT,Uppercut,58,54,33.5,18.5,14.0,1,46,31,12,15,33,16,0,9
TAUNT,Taunt,51,47,29.2,19.73,19,1,46,22,18,11,30,14,0,7
VICIOUS,Vicious,49,38,23.6,24.39,24,2,46,16,20,13,24,17,0,8
OFFERING,Offering,49,44,27.3,25.84,31,11,45,20,27,2,2,9,37,1
EVIL_EYE,Evil Eye,47,40,24.8,24.13,24,1,46,13,22,12,26,11,0,10
MOLTEN_FIST,Molten Fist,47,37,23.0,18.21,15,1,44,24,17,6,22,15,0,10
ARMAMENTS,Armaments,46,43,26.7,16.26,14.0,2,45,28,13,5,27,13,0,6
PERFECTED_STRIKE,Perfected Strike,45,27,16.8,17.98,14,2,46,26,8,11,31,13,0,1
FLAME_BARRIER,Flame Barrier,44,41,25.5,15.43,13.0,1,42,27,12,5,26,13,0,5
THUNDERCLAP,Thunderclap,39,34,21.1,14.28,9,1,43,26,7,6,22,9,0,8
PYRE,Pyre,39,38,23.6,26.62,23,13,47,18,13,8,3,8,25,3
EXPECT_A_FIGHT,Expect A Fight,37,33,20.5,25.84,28,2,46,8,18,11,16,14,0,7
ASHEN_STRIKE,Ashen Strike,37,31,19.3,26.73,30,3,45,8,12,17,23,6,0,8
CRIMSON_MANTLE,Crimson Mantle,36,31,19.3,24.56,20.0,13,46,18,16,2,3,8,25,0
SECOND_WIND,Second Wind,35,35,21.7,20.97,22,3,47,16,14,5,16,13,0,6
ANGER,Anger,33,31,19.3,9.73,5,2,38,26,5,2,29,2,0,2
FORGOTTEN_RITUAL,Forgotten Ritual,32,31,19.3,29.44,32.5,1,46,7,9,16,13,14,0,5
RAGE,Rage,30,27,16.8,21.77,22.5,2,46,11,13,6,18,12,0,0
FIEND_FIRE,Fiend Fire,30,29,18.0,20,17.0,9,33,22,8,0,3,5,22,0
STONE_ARMOR,Stone Armor,29,21,13.0,21.97,20,3,46,12,9,8,17,9,0,3
IMPERVIOUS,Impervious,28,25,15.5,25.07,21.0,9,43,14,9,5,1,8,17,2
UNMOVABLE,Unmovable,27,26,16.1,25,28,11,46,12,13,2,2,8,16,1
FIGHT_ME,Fight Me,26,24,14.9,12.62,6.5,2,43,18,5,3,20,2,0,4
INFERNO,Inferno,25,24,14.9,13.52,12,2,37,17,7,1,12,8,0,5
STOKE,Stoke,25,23,14.3,24.92,28,11,44,11,13,1,4,7,14,0
BREAKTHROUGH,Breakthrough,24,22,13.7,10.12,6.0,2,32,17,7,0,21,3,0,0
UNRELENTING,Unrelenting,24,23,14.3,15.46,14.5,2,39,14,7,3,15,3,0,6
DRUM_OF_BATTLE,Drum Of Battle,24,21,13.0,21.71,19.0,5,45,9,10,5,14,5,0,5
IRON_WAVE,Iron Wave,24,18,11.2,14.21,9.0,1,45,17,4,3,12,8,0,4
PILLAGE,Pillage,23,22,13.7,15.65,14,2,45,14,6,3,13,3,0,7
CASCADE,Cascade X,23,19,11.8,24.87,21,6,44,11,7,5,2,6,11,4
TWIN_STRIKE,Twin Strike,22,20,12.4,13.86,11.5,1,45,16,4,2,13,7,0,2
DARK_EMBRACE,Dark Embrace,22,19,11.8,28.55,31.0,15,46,7,12,3,0,5,13,4
RUPTURE,Rupture,21,19,11.8,29.57,29,6,46,5,6,10,14,6,0,1
STAMPEDE,Stampede,20,19,11.8,20.05,17.5,2,45,10,6,4,15,5,0,0
SPITE,Spite,20,17,10.6,21.25,19.0,2,46,8,8,4,10,9,0,1
STOMP,Stomp,20,20,12.4,9.45,7.0,1,36,18,1,1,10,7,0,3
CRUELTY,Cruelty,20,18,11.2,25.65,26.0,8,45,9,7,4,3,6,10,1
BULLY,Bully,19,19,11.8,20.37,15,5,44,11,3,5,13,4,0,2
BODY_SLAM,Body Slam,19,14,8.7,28.84,36,4,45,5,4,10,11,4,0,4
INFLAME,Inflame,19,18,11.2,18.37,15,2,45,11,5,3,13,6,0,0
BLUDGEON,Bludgeon,18,16,9.9,11.44,5.5,2,35,14,2,2,15,1,0,2
SWORD_BOOMERANG,Sword Boomerang,18,15,9.3,22,19.0,2,46,9,5,4,6,7,0,5
THRASH,Thrash,17,17,10.6,25.76,31,17,33,7,10,0,0,2,15,0
PACTS_END,Pacts End,16,16,9.9,22.25,17.0,15,46,10,5,1,0,3,11,2
HELLRAISER,Hellraiser,16,16,9.9,27.5,32.0,8,46,6,6,4,5,5,6,0
DISMANTLE,Dismantle,16,16,9.9,10.44,7.5,1,47,14,1,1,10,3,0,3
AGGRESSION,Aggression,16,16,9.9,28.75,33.0,13,44,5,9,2,0,6,10,0
BRAND,Brand,15,15,9.3,25.53,17,11,46,8,4,3,0,5,9,1
WHIRLWIND,Whirlwind X,15,15,9.3,13.47,13,2,39,10,4,1,13,2,0,0
FEED,Feed,14,14,8.7,18.79,17.0,9,33,11,3,0,2,2,10,0
HEMOKINESIS,Hemokinesis,14,14,8.7,5.14,4.0,2,12,14,0,0,11,2,0,1
MANGLE,Mangle,14,14,8.7,22.93,22.0,7,33,7,7,0,2,3,9,0
TEAR_ASUNDER,Tear Asunder,14,14,8.7,25.29,25.0,11,43,6,6,2,3,4,7,0
NOT_YET,Not Yet,13,13,8.1,25.08,27,9,46,6,4,3,1,6,4,2
HOWL_FROM_BEYOND,Howl From Beyond,13,13,8.1,25.77,30,5,46,4,6,3,7,4,0,2
HAVOC,Havoc,12,12,7.5,24.25,28.5,2,40,4,4,4,9,1,0,2
BARRICADE,Barricade,11,11,6.8,31.82,33,17,45,2,6,3,1,2,7,1
JUGGLING,Juggling,11,11,6.8,31.82,35,9,46,1,4,6,5,5,0,1
DEMON_FORM,Demon Form,10,10,6.2,26.6,30.5,11,45,4,4,2,2,5,3,0
CINDER,Cinder,10,10,6.2,7.9,2.0,2,36,8,1,1,9,0,0,1
INFERNAL_BLADE,Infernal Blade,10,10,6.2,14.1,16.0,1,30,5,5,0,7,1,0,2
CONFLAGRATION,Conflagration,9,9,5.6,20.78,17,5,33,5,4,0,2,3,4,0
SETUP_STRIKE,Setup Strike,8,8,5.0,12.5,4.5,2,43,6,1,1,4,4,0,0
ONE_TWO_PUNCH,One Two Punch,7,7,4.3,22.29,17,8,42,4,2,1,1,3,3,0
RAMPAGE,Rampage,7,7,4.3,14.43,4,2,37,4,2,1,5,2,0,0
DRAMATIC_ENTRANCE,Dramatic Entrance,5,5,3.1,6.6,6,3,12,5,0,0,0,0,0,5
JUGGERNAUT,Juggernaut,5,5,3.1,31,31,17,45,1,3,1,1,2,2,0
SHOCKWAVE,Shockwave,3,3,1.9,15.67,14,3,30,2,1,0,0,0,0,3
FLASH_OF_STEEL,Flash Of Steel,3,3,1.9,22.67,15,14,39,2,0,1,1,0,0,2
EQUILIBRIUM,Equilibrium,3,2,1.2,28,31,11,42,1,1,1,0,2,0,1
THRUMMING_HATCHET,Thrumming Hatchet,2,2,1.2,5,5.0,5,5,2,0,0,0,0,0,2
GRAVE_WARDEN,Grave Warden,2,1,0.6,34,34.0,22,46,0,1,1,2,0,0,0
BACKFLIP,Backflip,2,2,1.2,26,26.0,23,29,0,2,0,1,0,0,1
ULTIMATE_STRIKE,Ultimate Strike,2,2,1.2,12.5,12.5,12,13,2,0,0,0,0,0,2
FASTEN,Fasten,2,2,1.2,10.5,10.5,6,15,2,0,0,0,0,0,2
FINESSE,Finesse,2,2,1.2,10.5,10.5,6,15,2,0,0,0,0,0,2
DEFY,Defy,2,2,1.2,21.5,21.5,21,22,0,2,0,0,0,0,2
ECHO_FORM,Echo Form,2,2,1.2,27,27.0,23,31,0,2,0,0,0,0,2
BULK_UP,Bulk Up,2,2,1.2,27,27.0,23,31,0,2,0,0,0,0,2
